"","iso3c","GDP"
"1","IND",2674.852
"2","CHN",14862.564
"3","USA",21354.125
"4","IDN",1059.055
"5","PAK",300.41
"6","NGA",432.716
"7","BRA",1476.092
"8","BGD",373.902
"9","RUS",1488.118
"10","MEX",1120.832
"11","JPN",5054.094
"12","PHL",361.751
"13","COD",49.613
"14","ETH",96.611
"15","EGY",382.525
"16","VNM",346.31
"17","IRN",195.528
"18","TUR",717.114
"19","DEU",3936.989
"20","GBR",2698.705
"21","FRA",2645.806
"22","TZA",63.373
"23","THA",500.501
"24","ZAF",337.876
"25","ITA",1905.954
"26","KEN",100.912
"27","COL",270.348
"28","SDN",35.241
"29","MMR",77.801
"30","KOR",1744.456
"31","ESP",1288.751
"32","DZA",164.774
"33","ARG",385.218
"34","IRQ",182.576
"35","UGA",37.897
"36","AFG",20.136
"37","CAN",1655.685
"38","AGO",66.521
"39","UZB",66.443
"40","POL",599.458
"41","MAR",121.354
"42","SAU",734.271
"43","MYS",337.456
"44","PER",206.461
"45","MOZ",14.235
"46","GHA",70.005
"47","YEM",20.22
"48","MDG",13.051
"49","CIV",63.119
"50","NPL",33.434
"51","CMR",40.863
"52","UKR",156.579
"53","VEN",43.788
"54","AUS",1364.828
"55","NER",13.764
"56","PRK",NA
"57","SYR",NA
"58","BFA",17.754
"59","TWN",673.178
"60","MLI",17.643
"61","LKA",84.304
"62","MWI",11.847
"63","KAZ",171.082
"64","CHL",254.06
"65","ZMB",18.138
"66","SOM",8.628
"67","TCD",14.615
"68","SEN",24.534
"69","ROU",251.699
"70","NLD",931.814
"71","ECU",95.865
"72","GTM",77.718
"73","KHM",34.898
"74","ZWE",26.878
"75","GIN",14.089
"76","SSD",5.423
"77","RWA",10.174
"78","BEN",15.674
"79","BDI",3.086
"80","TUN",42.494
"81","JOR",43.762
"82","BEL",525.6
"83","HTI",14.508
"84","BOL",36.897
"85","ARE",349.473
"86","CZE",251.11
"87","DOM",78.923
"88","PRT",228.849
"89","TJK",8.134
"90","SWE",545.148
"91","GRC",188.329
"92","AZE",42.693
"93","ISR",413.196
"94","PNG",23.848
"95","HND",23.19
"96","CUB",NA
"97","HUN",157.289
"98","AUT",434.701
"99","CHE",741.311
"100","SLE",6.682
"101","BLR",61.312
"102","TGO",7.4
"103","LAO",18.511
"104","LBY",46.893
"105","KGZ",8.283
"106","TKM",52.385
"107","NIC",12.682
"108","SRB",53.356
"109","CAF",2.389
"110","BGR",70.311
"111","COG",11.485
"112","SGP",349.488
"113","PRY",35.432
"114","DNK",355.631
"115","SLV",24.921
"116","FIN",269.784
"117","NOR",367.633
"118","LBN",24.976
"119","IRL",436.205
"120","SVK",106.652
"121","OMN",75.909
"122","NZL",210.271
"123","LBR",3.037
"124","CRI",62.382
"125","MRT",8.464
"126","KWT",111.048
"127","PAN",57.087
"128","GEO",16.013
"129","HRV",58.179
"130","ERI",NA
"131","MNG",13.313
"132","URY",53.666
"133","BIH",20.226
"134","QAT",144.411
"135","ARM",12.642
"136","NAM",10.583
"137","LTU",56.873
"138","JAM",13.885
"139","GAB",15.364
"140","GMB",1.809
"141","MDA",11.53
"142","ALB",15.192
"143","BWA",14.93
"144","SVN",53.342
"145","LSO",2.092
"146","GNB",1.523
"147","MKD",12.385
"148","LVA",34.363
"149","GNQ",9.908
"150","BHR",35.838
"151","TLS",2.163
"152","TTO",20.808
"153","EST",31.791
"154","MUS",11.408
"155","SWZ",3.984
"156","DJI",3.185
"157","CYP",25.207
"158","GUY",5.471
"159","COM",1.218
"160","FJI",4.432
"161","BTN",2.586
"162","SLB",1.536
"163","LUX",73.64
"164","MNE",4.777
"165","SUR",2.912
"166","MLT",16.373
"167","MDV",3.706
"168","CPV",1.831
"169","CYP",25.207
"170","BRN",12.006
"171","BLZ",2.048
"172","BHS",9.958
"173","ISL",21.63
"174","VUT",1.008
"175","BRB",5.168
"176","STP",0.476
"177","WSM",0.869
"178","LCA",1.499
"179","SYC",1.384
"180","KIR",0.224
"181","VCT",0.865
"182","GRD",1.043
"183","ATG",1.411
"184","TON",0.445
"185","DMA",0.504
"186","KNA",0.884
"187","MHL",0.242
"188","LIE",NA
"189","MCO",NA
"190","PLW",0.259
"191","NRU",0.125
"192","TUV",0.053
